id,tick_lower,tick_upper,ticks,deposited_token0,deposited_token1,collected_token0,collected_token1,total_deposited_usd,total_profit_usd,apr_30d,apr,price_lower,price_upper,price_range,price_mid
"110173","-1","0","1","470153.720718","80379.611231","550540.778023","0","550533.331949","213.93539853019672","0.04","0.43","0.9999","1.0000","0.0001","1.0000"
"130779","4","5","1","681130.734333","100000","144581.130651","636789.55696","781130.734333","200.46546231483055","0.03","0.31","1.0004","1.0005","0.0001","1.0005"
"101116","1","2","1","249520.086703","345654.627897","457861.66883","137285.309669","595174.7146000001","199.03477659441415","0.03","0.36","1.0001","1.0002","0.0001","1.0002"
"134487","12","13","1","68195.098902","304911.756189","372728.713031","0","373106.855091","196.94034445806187","0.05","0.63","1.0012","1.0013","0.0001","1.0013"
"131085","4","5","1","701234.296464","754259.857645","0","1455827.766567","1455494.154109","188.28091619081064","0.01","0.15","1.0004","1.0005","0.0001","1.0005"
"68879","5","6","1","125000","247603.591615","372471.606237","0","372603.59161500004","186.8844249121193","0.04","0.50","1.0005","1.0006","0.0001","1.0006"
"42556","-4","-3","1","175319.634102","26633.885222","201963.998733","0","201953.51932400002","186.1125862807347","0.07","0.80","0.9996","0.9997","0.0001","0.9997"
"51258","-3","-2","1","9310.633322","24303.716045","0","33612.358629","33614.349367","185.53560607929526","0.41","4.99","0.9997","0.9998","0.0001","0.9998"
"67539","4","5","1","82536.978784","216345.886973","298787.868351","0","298882.865757","185.52280781520182","0.05","0.61","1.0004","1.0005","0.0001","1.0005"
"68684","5","6","1","183504.347334","117016.656474","300460.119307","0","300521.003808","180.69611150036744","0.05","0.60","1.0005","1.0006","0.0001","1.0006"
"195448","5","6","1","90312.641289","242817.257091","332999.683103","0","333129.89838","180.35832631464922","0.07","0.82","1.0005","1.0006","0.0001","1.0006"
"45495","-3","-2","1","15002.451521","7538.835858","0","22537.788267","22541.287379","178.86261400263032","0.57","6.96","0.9997","0.9998","0.0001","0.9998"
"122238","-2","-1","1","271439.489689","745784.965491","0","1017193.693289","1017224.45518","177.80044670561415","0.02","0.20","0.9998","0.9999","0.0001","0.9999"
"39401","-3","-2","1","91489.002962","19331.25437","110825.888603","0","110820.257332","177.47541139981917","0.11","1.36","0.9997","0.9998","0.0001","0.9998"
"205109","2","3","1","143708.401995","61956.534129","205651.606803","0","205664.936124","174.87069389169872","0.11","1.33","1.0002","1.0003","0.0001","1.0003"
"92529","-4","-3","1","141872.55881","182269.401687","0","324096.304157","324141.960497","174.19001004834118","0.05","0.56","0.9996","0.9997","0.0001","0.9997"
"144391","11","12","1","23403.418175","302722.6896","204727.523326","121187.222515","326126.107775","169.0936221908112","0.05","0.64","1.0011","1.0012","0.0001","1.0012"
"72958","1","2","1","152201.553447","50108.821614","202304.719028","0","202310.375061","168.39700409490484","0.07","0.83","1.0001","1.0002","0.0001","1.0002"
"134916","12","13","1","86982.436088","238859.386133","325546.636389","0","325841.822221","164.14116362205306","0.05","0.60","1.0012","1.0013","0.0001","1.0013"
