id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	price_lower	price_upper	price_range	price_mid
43008	-5	-4	1	179963.998731	17185.726503	0.0	197069.548027	197149.725234	533.256359	0.19	2.34	0.9995	0.9996	0.0001	0.9996
39257	-4	1	5	27599.665065	13355.172618	13345.428648	27608.359174	40954.837683	113.19316	0.19	2.35	0.9996	1.0001	0.0005	0.9999
43039	-5	-4	1	9003.499054	1225.979139	0.0	10225.481679	10229.478193	27.440994	0.19	2.32	0.9995	0.9996	0.0001	0.9996
42873	-5	1	6	6573.139898	1376.813743	0.0	7948.980728	7949.953641	21.366891	0.19	2.33	0.9995	1.0001	0.0006	0.9998
42401	-4	-3	1	960.497248	2148.803476	3110.08609	0.0	3109.300724	8.477403	0.19	2.35	0.9996	0.9997	0.0001	0.9997
55536	-3	-2	1	202.057444	499.819146	0.0	701.833276	701.87659	1.709366	0.19	2.29	0.9997	0.9998	0.0001	0.9998
43897	-6	-2	4	22771.49116	8496.845513	0.0	31260.467814	31268.336673	79.693727	0.18	2.21	0.9994	0.9998	0.0004	0.9996
42565	-4	-2	2	12965.31444	13954.880949	0.0	26916.544985	26920.195389	67.618117	0.18	2.17	0.9996	0.9998	0.0002	0.9997
43021	-5	-4	1	15337.654423	1996.468502	0.0	17327.310956	17334.122925	43.867894	0.18	2.19	0.9995	0.9996	0.0001	0.9996
57659	-3	-2	1	2294.783021	6379.999999	8676.462528	0.0	8674.78302	19.66416	0.18	2.15	0.9997	0.9998	0.0001	0.9998
42512	-5	0	5	3971.532729	1290.123339	0.0	5260.906798	5261.656068	13.332089	0.18	2.19	0.9995	1.0	0.0005	0.9998
42605	-5	0	5	4151.964189	1214.821186	0.0	5365.982518	5366.785375	13.248154	0.18	2.13	0.9995	1.0	0.0005	0.9998
49107	-4	-2	2	657.944283	3763.088185	592.70622	3828.311356	4421.032468	10.800642	0.18	2.17	0.9996	0.9998	0.0002	0.9997
42519	-5	0	5	1769.490753	580.074419	0.0	2349.232087	2349.565172	5.926548	0.18	2.18	0.9995	1.0	0.0005	0.9998
72542	1	6	5	1449.739814	151.942662	66.755064	1535.427352	1601.682476	3.497523	0.18	2.19	1.0001	1.0006	0.0005	1.0004
165154	1	3	2	212.447817	100.025726	145.060794	167.425254	312.473543	0.500955	0.18	2.16	1.0001	1.0003	0.0002	1.0002
291821	-2	-1	1	164.125615	1214.415011	0.0	1378.523161	1378.540626	1.052049	0.18	2.14	0.9998	0.9999	0.0001	0.9999
53019	-4	-1	3	3202.945016	4405.737089	0.0	7608.15966	7608.682105	17.142251	0.17	2.07	0.9996	0.9999	0.0003	0.9998
44082	-6	-1	5	1236.707063	330.0	0.0	1566.339432	1566.707063	3.663698	0.17	2.03	0.9994	0.9999	0.0005	0.9997
43902	-6	-1	5	762.941647	212.036117	0.0	974.752273	974.977764	2.335007	0.17	2.08	0.9994	0.9999	0.0005	0.9997
56096	-3	-2	1	76.160283	205.462458	0.0	281.606481	281.622741	0.632564	0.17	2.12	0.9997	0.9998	0.0001	0.9998
147044	7	12	5	19.439663	118.718452	138.049567	0.0	138.158115	0.230604	0.17	2.09	1.0007	1.0012	0.0005	1.001
96667	-517	201	718	142.560025	355.286317	135.837473	362.009791	497.846342	0.983583	0.17	2.09	0.9496	1.0203	0.0707	0.985
73615	1	2	1	365340.306768	159446.712854	524768.652329	0.0	524787.019622	1027.613578	0.16	1.96	1.0001	1.0002	0.0001	1.0002
74874	1	3	2	35276.80729	4329.03395	39605.36101	0.0	39605.84124	78.566765	0.16	2.0	1.0001	1.0003	0.0002	1.0002
42408	-4	-3	1	4468.420583	9996.652983	14468.727246	0.0	14465.073566	31.826958	0.16	1.9	0.9996	0.9997	0.0001	0.9997
177396	2	3	1	51.907061	1033.925302	1085.576397	0.0	1085.832363	1.472846	0.16	1.92	1.0002	1.0003	0.0001	1.0003
42419	-6	-1	5	313.50572	357.408636	171.857751	499.016833	670.914356	1.470194	0.16	1.89	0.9994	0.9999	0.0005	0.9997
52804	-3	-2	1	123.243703	327.189376	0.0	450.406746	450.433079	0.978577	0.16	1.99	0.9997	0.9998	0.0001	0.9998
43647	-5	-4	1	91298.938026	21453.894369	0.0	112712.627651	112752.832395	234.927673	0.15	1.81	0.9995	0.9996	0.0001	0.9996
42432	-4	-3	1	54582.054078	2596.949948	0.0	57160.014948	57179.004026	122.265389	0.15	1.85	0.9996	0.9997	0.0001	0.9997
42439	-4	-3	1	20005.778055	4846.421086	0.0	24845.393739	24852.199141	52.453043	0.15	1.82	0.9996	0.9997	0.0001	0.9997
42444	-4	-3	1	14853.460641	7437.068568	0.0	22285.579416	22290.529209	46.487729	0.15	1.8	0.9996	0.9997	0.0001	0.9997
56954	-3	-2	1	6332.020548	17309.179555	2113.175518	21527.13909	23641.200103	46.019626	0.15	1.84	0.9997	0.9998	0.0001	0.9998
39231	-3	-2	1	8796.174733	12268.432649	21067.90786	0.0	21064.607382	45.750733	0.15	1.84	0.9997	0.9998	0.0001	0.9998
42406	-4	-3	1	3318.181939	7423.364197	10321.326578	422.764427	10741.546136	23.127783	0.15	1.86	0.9996	0.9997	0.0001	0.9997
43628	-5	-4	1	5957.398197	1936.279627	0.0	7891.070664	7893.677824	16.579022	0.15	1.82	0.9995	0.9996	0.0001	0.9996
43699	-5	-4	1	992.416775	236.770864	0.0	1228.75073	1229.187639	2.526491	0.15	1.78	0.9995	0.9996	0.0001	0.9996
42440	-6	-1	5	620.091086	485.089854	283.087623	821.990794	1105.18094	2.331342	0.15	1.82	0.9994	0.9999	0.0005	0.9997
57082	-3	-2	1	255.897193	699.999999	0.0	955.842596	955.897192	1.901389	0.15	1.88	0.9997	0.9998	0.0001	0.9998
42413	-4	-3	1	153.027868	302.311206	455.449975	0.0	455.339074	0.949609	0.15	1.8	0.9996	0.9997	0.0001	0.9997
67617	0	10	10	254.909305	245.095546	352.051604	147.915072	500.004851	0.903701	0.15	1.79	1.0	1.001	0.001	1.0005
74263	1	2	1	173.981918	63.187099	237.161856	0.0	237.169017	0.442747	0.15	1.88	1.0001	1.0002	0.0001	1.0002
43727	-6	-1	5	59.997731	18.852944	0.0	78.833265	78.850675	0.165829	0.15	1.82	0.9994	0.9999	0.0005	0.9997
75537	1	2	1	133859.215821	28000.521516	161856.695434	0.0	161859.737337	280.920457	0.14	1.75	1.0001	1.0002	0.0001	1.0002
204688	2	3	1	12257.326581	46195.964943	58442.228863	0.0	58453.291524	61.854185	0.14	1.66	1.0002	1.0003	0.0001	1.0003
45499	-3	-2	1	19085.556281	10059.68379	8246.75592	20895.808668	29145.240071	58.277489	0.14	1.75	0.9997	0.9998	0.0001	0.9998
204702	2	3	1	10421.465169	39276.887698	49688.947134	0.0	49698.352867	52.278477	0.14	1.65	1.0002	1.0003	0.0001	1.0003
162797	1	2	1	23444.490458	9018.013078	0.0	32466.345941	32462.503536	42.01864	0.14	1.72	1.0001	1.0002	0.0001	1.0002
