id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_est_30d	price_lower	price_upper	price_range	price_mid
306229.0	-2.0	3.0	5.0	303.127	151.896	0.0	0.0	455.023	-455.023	-1216.67	0.9998	1.0003	0.0005	1.00005
306313.0	-1.0	0.0	1.0	12863.6	26587.5	0.0	39450.9	39451.1	-0.209702	-0.00646717	0.9999	1.0	9.999e-05	0.99995
306370.0	-4.0	7.0	11.0	5.97961	2.999	5.15815	3.82047	8.97861	1.4e-05	0.0018971	0.9996	1.0007	0.00110011	1.00015
307085.0	-1.0	1.0	2.0	90.598	46.6287	0.0	0.0	137.227	-137.227	-1216.67	0.9999	1.0001	0.00019999	1.0
308079.0	-2.0	3.0	5.0	31778.8	16003.0	0.0	47786.0	47781.8	4.24982	0.108213	0.9998	1.0003	0.0005	1.00005
308991.0	-1.0	0.0	1.0	3242.05	7194.65	0.0	10436.6	10436.7	-0.050352	-0.00586983	0.9999	1.0	9.999e-05	0.99995
311509.0	0.0	1.0	1.0	12434.6	1049.19	0.0	13484.5	13483.8	0.670091	0.0604634	1.0	1.0001	0.0001	1.00005
311512.0	0.0	1.0	1.0	35963.5	3034.26	0.0	38999.7	38997.8	1.93804	0.0604635	1.0	1.0001	0.0001	1.00005
311514.0	0.0	1.0	1.0	5824.34	916.331	0.0	6741.0	6740.67	0.330795	0.0597073	1.0	1.0001	0.0001	1.00005
311515.0	0.0	1.0	1.0	2591.82	407.766	0.0	2999.73	2999.59	0.147203	0.0597072	1.0	1.0001	0.0001	1.00005
311518.0	0.0	1.0	1.0	1185.45	186.505	0.0	1372.03	1371.96	0.067328	0.0597072	1.0	1.0001	0.0001	1.00005
311525.0	0.0	1.0	1.0	26580.0	23612.5	0.0	50194.2	50192.5	1.71489	0.041569	1.0	1.0001	0.0001	1.00005
311526.0	0.0	1.0	1.0	13867.7	4337.02	0.0	18205.5	18204.7	0.85855	0.0573792	1.0	1.0001	0.0001	1.00005
311532.0	0.0	1.0	1.0	7752.99	16159.9	0.0	23913.6	23912.9	0.649604	0.0330513	1.0	1.0001	0.0001	1.00005
311538.0	0.0	1.0	1.0	2270.36	4831.13	0.0	7101.68	7101.49	0.19074	0.0326786	1.0	1.0001	0.0001	1.00005
311549.0	-1.0	3.0	4.0	30.0	21.7323	0.0	0.0	51.7323	-51.7323	-1216.67	0.9999	1.0003	0.00040002	1.0001
311568.0	0.0	1.0	1.0	218.112	464.897	0.0	683.028	683.009	0.018327	0.0326465	1.0	1.0001	0.0001	1.00005
311574.0	0.0	1.0	1.0	2201.29	4770.11	0.0	6971.59	6971.4	0.185371	0.0323514	1.0	1.0001	0.0001	1.00005
311611.0	0.0	1.0	1.0	12476.8	29468.8	0.0	41946.6	41945.6	1.0621	0.0308071	1.0	1.0001	0.0001	1.00005
311620.0	0.0	1.0	1.0	711.26	1698.76	2409.96	0.0	2410.02	-0.059866	-0.0302226	1.0	1.0001	0.0001	1.00005
311624.0	0.0	1.0	1.0	600.842	1435.04	2035.83	0.0	2035.88	-0.050573	-0.030223	1.0	1.0001	0.0001	1.00005
311650.0	0.0	1.0	1.0	13229.3	34770.7	0.0	48001.1	48000.0	1.14061	0.0289112	1.0	1.0001	0.0001	1.00005
311748.0	-1.0	2.0	3.0	213.037	287.841	259.169	241.706	500.877	-0.002704	-0.00656821	0.9999	1.0002	0.0003	1.00005
311766.0	0.0	2.0	2.0	1907.33	1082.25	2989.54	0.0	2989.57	-0.039174	-0.0159426	1.0	1.0002	0.00020001	1.0001
311791.0	0.0	1.0	1.0	44524.7	155345.0	199864.0	0.0	199870.0	-6.03754	-0.0367523	1.0	1.0001	0.0001	1.00005
311792.0	-1.0	3.0	4.0	1233.76	1000.07	2233.84	0.0	2233.83	0.010465	0.0056998	0.9999	1.0003	0.00040002	1.0001
311804.0	0.0	1.0	1.0	2389.81	8008.74	10398.2	0.0	10398.6	-0.308383	-0.0360819	1.0	1.0001	0.0001	1.00005
311808.0	0.0	1.0	1.0	1872.36	6300.9	0.0	8173.43	8173.26	0.165768	0.0246761	1.0	1.0001	0.0001	1.00005
311819.0	0.0	1.0	1.0	3571.93	12312.9	0.0	15885.1	15884.8	0.317028	0.0242821	1.0	1.0001	0.0001	1.00005
311874.0	0.0	1.0	1.0	5661.25	19441.1	0.0	25102.9	25102.4	0.50228	0.0243446	1.0	1.0001	0.0001	1.00005
